INLINE SpellAssociationTable,Weapon,IsMapOnly,Ranged Animation,Ranged Animation Enabled,##UNKNOWN##,Map Animation,Direct HP Change,Map Sprite Direction,Attack Color,##UNKNOWN##
0x53,0x53,2,0x30,0x1,0x0,0x89a4cc4,0x0,0x0,0x0,0x0
0x54,0x54,1,0xfe,0xff,0x0,0x89a5214,0x0,0x0,0x0,0x0
0x55,0x55,1,0xfe,0xff,0x0,0x89a5214,0x0,0x0,0x0,0x0
0x56,0x56,1,0xfe,0xff,0x0,0x89a4bf4,0x0,0x1,0x0,0x0
0x57,0x57,1,0xfe,0xff,0x0,0x89a4fcc,0x0,0x0,0x0,0x0
0x58,0x58,1,0xfe,0xff,0x0,0x89a4c3c,0x0,0x2,0x0,0x0
0x59,0x59,2,0x31,0x1,0x0,0x89a518c,0x0,0x0,0x0,0x0
0x5a,0x5a,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x5b,0x5b,1,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x5c,0x5c,1,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x5d,0x5d,1,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x5e,0x5e,1,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x5f,0x5f,1,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x60,0x60,1,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x61,0x61,1,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x62,0x62,1,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x63,0x63,1,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x64,0x64,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x65,0x65,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x66,0x66,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x67,0x67,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x68,0x68,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x69,0x69,1,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x6a,0x6a,1,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x6b,0x6b,1,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x6c,0x6c,1,0xfe,0xff,0x0,0x89a49fc,0x1,0x1,0x0,0x0
0x6d,0x6d,1,0xfe,0xff,0x0,0x89a49a4,0x1,0x1,0x0,0x0
0x6e,0x6e,1,0xfe,0xff,0x0,0x89a495c,0x0,0x1,0x0,0x0
0x6f,0x6f,1,0xfe,0xff,0x0,0x89a4914,0x0,0x1,0x0,0x0
0x70,0x70,1,0xfe,0xff,0x0,0x89a4bf4,0x0,0x1,0x0,0x0
0x71,0x71,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x72,0x72,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x73,0x73,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x74,0x74,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x75,0x75,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x76,0x76,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x77,0x77,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x78,0x78,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x79,0x79,1,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x7a,0x7a,1,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x7b,0x7b,1,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x7c,0x7c,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x7d,0x7d,2,0x3a,0x1,0x0,0x0,0x0,0x0,0x2,0x0
0x7e,0x7e,2,0x3b,0x1,0x0,0x0,0x0,0x0,0x5,0x0
0x7f,0x7f,2,0x3c,0x1,0x0,0x0,0x0,0x0,0x4,0x0
0x80,0x80,2,0x3d,0x1,0x0,0x0,0x0,0x0,0x3,0x0
0x81,0x81,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x82,0x82,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x83,0x83,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x84,0x84,2,0x2,0x1,0x0,0x0,0x1,0x0,0x0,0x0
0x85,0x85,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x86,0x86,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x87,0x87,2,0x3f,0x1,0x0,0x0,0x1,0x0,0x5,0x0
0x88,0x88,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x89,0x89,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x8a,0x8a,2,0xff,0xff,0x0,0x0,0x1,0x0,0x1,0x0
0x8b,0x8b,2,0xff,0xff,0x0,0x0,0x1,0x0,0x5,0x0
0x8c,0x8c,1,0xfe,0xff,0x0,0x89a489c,0x1,0x1,0x0,0x0
0x8d,0x8d,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x8e,0x8e,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x8f,0x8f,2,0x46,0x1,0x0,0x0,0x1,0x0,0x1,0x0
0x90,0x90,2,0x47,0x1,0x0,0x0,0x1,0x0,0x1,0x0
0x91,0x91,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x92,0x92,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x93,0x93,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x94,0x94,2,0x2,0x1,0x0,0x0,0x1,0x0,0x0,0x0
0x95,0x95,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x96,0x96,2,0x3,0x1,0x0,0x0,0x1,0x0,0x0,0x0
0x97,0x97,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x98,0x98,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x99,0x99,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x9a,0x9a,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x9b,0x9b,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x9c,0x9c,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x9d,0x9d,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x9e,0x9e,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x9f,0x9f,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xa0,0xa0,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xa1,0xa1,2,0x35,0x1,0x0,0x0,0x1,0x0,0x4,0x0
0xa2,0xa2,1,0xfe,0xff,0x0,0x89a49fc,0x1,0x1,0x0,0x0
0xa3,0xa3,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xa4,0xa4,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xa5,0xa5,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xa6,0xa6,2,0xff,0xff,0x0,0x89a481c,0x0,0x0,0x0,0x0
0xa7,0xa7,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xa8,0xa8,2,0x40,0x1,0x0,0x0,0x1,0x0,0x0,0x0
0xa9,0xa9,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xaa,0xaa,2,0x13,0x1,0x0,0x0,0x1,0x0,0x2,0x0
0xab,0xab,2,0x45,0x1,0x0,0x0,0x1,0x0,0x0,0x0
0xac,0xac,2,0x44,0x1,0x0,0x0,0x1,0x0,0x1,0x0
0xad,0xad,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xae,0xae,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xaf,0xaf,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xb0,0xb0,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xb1,0xb1,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xb2,0xb2,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xb3,0xb3,2,0x43,0x1,0x0,0x0,0x1,0x0,0x0,0x0
0xb4,0xb4,2,0x42,0x1,0x0,0x0,0x1,0x0,0x0,0x0
0xb5,0xb5,2,0x3e,0x1,0x0,0x89a4e04,0x1,0x0,0x1,0x0
0xb6,0xb6,2,0x1c,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xb7,0xb7,1,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xb8,0xb8,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xb9,0xb9,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xba,0xba,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xbb,0xbb,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xbc,0xbc,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xbd,0xbd,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xbe,0xbe,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xbf,0xbf,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xc0,0xc0,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xc1,0xc1,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xc2,0xc2,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xc3,0xc3,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xc4,0xc4,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xc5,0xc5,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xc6,0xc6,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xc7,0xc7,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xc8,0xc8,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xc9,0xc9,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xca,0xca,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xcb,0xcb,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xcc,0xcc,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xcd,0xcd,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xce,0xce,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xcf,0xcf,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xd0,0xd0,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xd1,0xd1,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xd2,0xd2,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xd3,0xd3,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xd4,0xd4,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xd5,0xd5,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xd6,0xd6,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xd7,0xd7,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xd8,0xd8,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xd9,0xd9,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xda,0xda,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xdb,0xdb,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xdc,0xdc,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xdd,0xdd,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xde,0xde,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xdf,0xdf,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xe0,0xe0,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xe1,0xe1,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xe2,0xe2,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xe3,0xe3,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xe4,0xe4,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xe5,0xe5,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xe6,0xe6,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xe7,0xe7,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xe8,0xe8,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xe9,0xe9,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xea,0xea,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xeb,0xeb,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xec,0xec,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xed,0xed,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xee,0xee,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xef,0xef,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xf0,0xf0,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xf1,0xf1,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xf2,0xf2,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xf3,0xf3,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xf4,0xf4,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xf5,0xf5,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xf6,0xf6,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xf7,0xf7,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xf8,0xf8,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xf9,0xf9,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xfa,0xfa,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xfb,0xfb,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xfc,0xfc,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xfd,0xfd,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xfe,0xfe,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xff,0xff,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
term,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xff 0xff
